country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,18.2,3.6,1024.0,42,75,0.0,2,115,Nublado
Mexico,16.1,3.6,1025.0,48,0,0.0,3,116,Despejado
Mexico,17.4,8.6,1016.0,64,4,0.0,2,117,Despejado
Mexico,16.1,6.1,1027.0,29,0,0.0,3,118,Despejado
Mexico,15.2,3.6,1026.0,55,0,0.0,2,119,Despejado
Mexico,16.1,6.8,1024.0,55,75,0.0,2,120,Nublado
Mexico,19.5,4.0,1013.0,53,5,0.0,2,121,Despejado
Mexico,18.0,7.6,1023.0,45,0,0.0,3,122,Despejado
Mexico,20.1,9.0,1022.0,46,50,0.0,3,123,Nublado
Mexico,18.2,3.6,1024.0,64,75,0.0,2,124,Nublado
Mexico,17.4,7.9,1023.0,39,25,0.0,3,125,Despejado
Mexico,17.7,7.9,1013.0,38,0,0.0,3,126,Despejado
Mexico,19.5,6.8,1013.0,38,0,0.0,2,127,Despejado
Mexico,20.4,3.6,1014.0,41,0,0.0,2,128,Despejado
Mexico,18.3,10.4,1024.0,56,50,0.0,3,129,Nublado
Mexico,15.1,6.8,1017.0,80,73,0.0,3,130,Nublado
Mexico,14.8,9.4,1019.0,79,100,0.0,2,131,Nublado
Mexico,14.2,5.8,1029.0,63,0,0.0,3,132,Despejado
Mexico,17.0,3.6,1027.0,32,25,0.0,3,133,Despejado
Mexico,19.1,3.6,1026.0,52,0,0.0,3,134,Despejado
Mexico,18.2,3.6,1024.0,26,0,0.0,3,135,Despejado
Mexico,21.3,3.6,1024.0,26,0,0.0,3,136,Despejado
Mexico,20.3,3.6,1013.0,68,2,0.0,2,137,Despejado
Mexico,20.6,8.3,1013.0,63,2,0.0,2,138,Despejado
Mexico,16.0,3.6,1024.0,68,50,0.0,3,139,Nublado
Mexico,17.4,3.6,1023.0,59,0,0.0,3,140,Despejado
Mexico,18.8,5.0,1015.0,64,0,0.0,2,142,Despejado
Mexico,16.7,5.8,1017.0,75,59,0.0,3,143,Nublado
Mexico,16.2,3.6,1028.0,77,100,0.0,2,144,Nublado
Mexico,18.1,5.0,1028.0,64,100,0.0,2,145,Nublado
Mexico,16.2,6.1,1028.0,72,75,0.0,3,146,Nublado
Mexico,15.3,3.6,1027.0,82,100,0.0,3,147,Nublado
Mexico,15.3,9.0,1019.0,76,87,0.0,2,148,Nublado
Mexico,14.2,6.1,1030.0,94,100,0.0,2,149,Lluvia
Mexico,15.7,3.6,1020.0,84,77,0.0,2,150,Nublado
Mexico,16.8,5.8,1017.0,87,90,0.0,2,151,Nublado
Mexico,15.2,3.6,1019.0,85,70,0.0,2,152,Nublado
Mexico,16.3,4.7,1027.0,82,75,0.0,3,153,Nublado
Mexico,16.4,3.6,1027.0,82,100,0.0,3,154,Nublado
Mexico,16.1,6.8,1015.0,98,100,0.0,3,155,Otro
